Id,Count,ExcerptPostId
6.0,1880.0,8046.0
6.0,1880.0,8046.0
6.0,1880.0,8046.0
6.0,1880.0,8046.0
6.0,1880.0,8046.0
462.0,128.0,68614.0
462.0,128.0,68614.0
462.0,128.0,68614.0
467.0,331.0,65135.0
467.0,331.0,65135.0
467.0,331.0,65135.0
467.0,331.0,65135.0
467.0,331.0,65135.0
467.0,331.0,65135.0
717.0,158.0,62160.0
717.0,158.0,62160.0
787.0,4.0,
787.0,4.0,
787.0,4.0,
787.0,4.0,
787.0,4.0,
861.0,38.0,
861.0,38.0,
861.0,38.0,
877.0,37.0,
877.0,37.0,
877.0,37.0,
1198.0,104.0,
1198.0,104.0,
1198.0,104.0,
1198.0,104.0,
1198.0,104.0,
1477.0,4.0,
1477.0,4.0,
1477.0,4.0,
1550.0,4.0,
1550.0,4.0,
1550.0,4.0,
1550.0,4.0,
1550.0,4.0,
1550.0,4.0,
1550.0,4.0,
1788.0,1.0,
1788.0,1.0,
1788.0,1.0,
1788.0,1.0,
1851.0,2.0,
1224.0,104.0,24436.0
